pid,artist,label,_date,_tags,object_type,current_location,source,order,layout,collection,thumbnail,full
Obj_23,@marcoregil,@realDonaldTrump Immigrants are hardworking and courageous people #imnotacriminal,"June 19, 2015",#ImNotACriminal ,"Photo, Tweet","Los Angeles, CA",https://twitter.com/marcoregil/status/612007854698950656,22,tweets_item,tweets,/img/derivatives/simple/Obj_23/thumbnail.jpg,/img/derivatives/simple/Obj_23/fullwidth.jpg
Obj_24,@nessalessi,"@realDonaldTrump My immigrant parents can only be described as dreamers and doers, not rapists. #imnotacriminal","June 19, 2015",#ImNotACriminal ,"Photo, Tweet","Los Angeles, CA",https://twitter.com/nessalessi/status/612033006170025984,23,tweets_item,tweets,/img/derivatives/simple/Obj_24/thumbnail.jpg,/img/derivatives/simple/Obj_24/fullwidth.jpg
Obj_25,@nesto_07, Los callejones en LA sin los latinos ✊🏼 #DayWithoutImmigrants,"February 16, 2017",#DayWithoutImmigrants,"Photo, Tweet","Lompoc, CA",https://twitter.com/nesto_07/status/832336863650144256?s=20,24,tweets_item,tweets,/img/derivatives/simple/Obj_25/thumbnail.jpg,/img/derivatives/simple/Obj_25/fullwidth.jpg
Obj_26,@CondensaRenata,"En diferentes partes de california, se noto la ausencia y el apoyo de la gente, un dia sin inmigrantes, bendiciones y sigamos!","February 16, 2017","No hashtag, but ""un dia sin immigrantes"" mentioned in tweer",Tweet,"Irvine, CA",https://twitter.com/CondesaRenata/status/832401824036499458?s=20,25,tweets_item,tweets,/img/derivatives/simple/Obj_26/thumbnail.jpg,/img/derivatives/simple/Obj_26/fullwidth.jpg
Obj_27,@ChavezTheRapper,Fuck Trump. Fuck la migra. The border crossed us! #DayWithoutImmigrants,"February 16, 2017",#DayWithoutImmigrants,"Photo, Tweet","Profile says, Houston, TX",https://twitter.com/ChavezTheRapper/status/832276796313841665?s=20,26,tweets_item,tweets,/img/derivatives/simple/Obj_27/thumbnail.jpg,/img/derivatives/simple/Obj_27/fullwidth.jpg
Obj_28,@ChavezTheRapper,"Aqui estamos! #HeretoStay #HateDebate2016 #daywithoutimmigrants
","February 16, 2017","#DayWithoutImmigrants, #HeretoStay #HateDebate2016","Photo, Tweet","Houston, TX",https://x.com/ChavezTheRapper/status/832280802478215170?s=20,27,tweets_item,tweets,/img/derivatives/simple/Obj_28/thumbnail.jpg,/img/derivatives/simple/Obj_28/fullwidth.jpg
Obj_29,@verygr8,#DayWithoutImmigrants This is what class looks like in California without those who protested today.,"February 16, 2017",#DayWithoutImmigrants,"Photo, Tweet",California,https://twitter.com/verygr8/status/832280976927580160,28,tweets_item,tweets,/img/derivatives/simple/Obj_29/thumbnail.jpg,/img/derivatives/simple/Obj_29/fullwidth.jpg
Obj_30,@alohamode,"It's happening in Los Angeles 👍

#移民のいない一日
#daywithoutimmigrants
#UnDiaSinInmigrantes
@ACLU_SoCal

@LAist
 
@latimes","February 16, 2017","#daywithoutimmigrants
#UnDiaSinInmigrantes","Photo, Tweet","Los Angeles, CA",https://twitter.com/alohamode/status/832325894916108289,29,tweets_item,tweets,/img/derivatives/simple/Obj_30/thumbnail.jpg,/img/derivatives/simple/Obj_30/fullwidth.jpg
Obj_31,@tracktheban,A few LA neighborhoods were empty of immigrants today #DayWithoutImmigrants #ADayWithoutImmigrants   http://uscannenbergmedia.com/2017/02/16/santee-alley-workers-participate-in-adaywithoutimmigrants/,"February 16, 2017",#ADayWithoutImmigrants ,Tweet,"Beverly Hills, CA",https://twitter.com/tracktheban/status/832470972552720384,30,tweets_item,tweets,/img/derivatives/simple/Obj_31/thumbnail.jpg,/img/derivatives/simple/Obj_31/fullwidth.jpg
Obj_32,@afabc_la,Local restaurant supporting immigrant rights! #DayWithoutImmigrants,"February 16, 2017",#DayWithoutImmigrants,"Photo, Tweet","Los Angeles, CA",https://twitter.com/afabc_la/status/832378539223584769?s=20,31,tweets_item,tweets,/img/derivatives/simple/Obj_32/thumbnail.jpg,/img/derivatives/simple/Obj_32/fullwidth.jpg
Obj_33,@taygoldstein,"Just had a ""Ch***a la Migra!"" (""F**k ICE!"") chant. #DayWithoutImmigrants Aso, more ""Fuera ICE!"" (""Out, ICE!"")","February 16, 2017",#DayWithoutImmigrants,Tweet,"Austin, TX",https://twitter.com/taygoldenstein/status/832347322856177665,32,tweets_item,tweets,/img/derivatives/simple/Obj_33/thumbnail.jpg,/img/derivatives/simple/Obj_33/fullwidth.jpg
Obj_34,@huichol19,De este tamaño fue la detención de la economía en Los Ángeles; #California. La protesta #UnDiaSinInmigrantes fue éxito total,"February 17, 2017",#UnDiaSinInmigrantes,"Photo,Tweet","Los Angeles, CA",https://twitter.com/huichol19/status/832617637351796736,33,tweets_item,tweets,/img/derivatives/simple/Obj_34/thumbnail.jpg,/img/derivatives/simple/Obj_34/fullwidth.jpg
Obj_35,@turnignorance,#CBS2News covered our campaign during May Day in Downtown LA. #Turnignorancearound,"May 5, 2016",#Turnignorance,"Video, Tweet","Los Angeles, CA",https://twitter.com/turnignorance/status/728308221237039104,34,tweets_item,tweets,/img/derivatives/simple/Obj_35/thumbnail.jpg,/img/derivatives/simple/Obj_35/fullwidth.jpg
Obj_36,@georgezstewart,"I filmed the joy, excitement, relief, unity, and celebration in Downtown Los Angeles after the announcement of Biden/Harris’ victory. I hope y’all enjoy the moments I captured in LA❤️ #DTLA #LosAngeles #Election2020 #BidenHarris2020 #DumpTrump #Democracy #JoeBiden #KamalaHarris","November 8, 2020","#DumpTrump, #DTLA","Video, Tweet","Los Angeles, CA",https://twitter.com/georgezstewart/status/1325565487988666368?s=20,35,tweets_item,tweets,/img/derivatives/simple/Obj_36/thumbnail.jpg,/img/derivatives/simple/Obj_36/fullwidth.jpg
Obj_37,@ToddBigPhoto,More #MayDay2016 #LosAngeles protest. #immigration #Latinovote #DumpTrump #MakeAmericaMexicoAgain #BlackLivesMatter,"May 2, 2016",#MayDay2016,"Photo, Tweet","Los Angeles, CA",https://twitter.com/ToddBigPhoto/status/727258159912353793,36,tweets_item,tweets,/img/derivatives/simple/Obj_37/thumbnail.jpg,/img/derivatives/simple/Obj_37/fullwidth.jpg
